Word;Alternate;Rank;Translation;Note;Word Class
génial;génial;281.;adj. great, brilliant, fantastic;Il est génial.  /  Tu es vraiment génial.  /  Ce serait vraiment génial.;adj
envie;l'envie (f);282.;"n. desire, wish; envy";;n
capitaine;le capitaine;283.;n. captain, leader;Je suis le capitaine.;n
pays;le pays;284.;n. country;Quel pays !  /  Je veux en savoir plus sur votre pays.  /  Depuis combien de temps êtes-vous dans ce pays ?;n
cours;le cours;285.;"n. course (of events); course, lesson, class";Je dois faire ça avant les cours.  /  Je veux vous parler après le cours.;n
numéro;le numéro;286.;n. number;Prends un numéro !  /  Quel est ton numéro ?  /  Laisse-moi te donner mon numéro de téléphone.  /  Tu as toujours mon numéro de téléphone ?;n
bientôt;bientôt;287.;adv. soon, shortly, in the near future;Il sera bientôt là.  /  Je dois bientôt partir.  /  Ça va bientôt être le matin.  /  Ce sera bientôt le moment de partir.  /  Je pense que le train va bientôt arriver.;adv
cinq;cinq;288.;num. five;Je la connais depuis cinq ans.  /  Elle a cinq ans de moins que moi.;num
parfait;parfait;289.;adj. perfect;Cet endroit est parfait.;adj
minute;la minute;290.;n. minute;Je suis à vous dans une minute.  /  Je peux te parler une minute ?;n
ainsi;ainsi;291.;adv. thus, so, as;Il doit en être ainsi.;adv
autant;autant;292.;"adv. so much; as much as, as far as";;adv
retour;le retour;293.;n. return;Est-ce la raison de ton retour ?;n
peine;la peine;294.;n. pain, effort, trouble (of doing something);;n
instant;l'instant (m);295.;n. moment, instant;Un instant...  /  Juste un instant.  /  Il va venir dans un instant.  /  Je suis à vous dans un instant.;n
mauvais;mauvais;296.;adj. bad, wrong, incorrect;Ne sois pas un mauvais garçon.;adj
penser;penser;297.;v. to think, to imagine;Il vous faut penser à votre famille.  /  Essaie de ne pas y penser !  /  Je vais te dire ce que je pense.;v
mot;le mot;298.;n. word;Il veut toujours avoir le dernier mot.  /  Il me faut avoir un mot avec vous dans mon bureau.;n
film;le film;299.;n. film, movie;Comment était le film ?  /  Tu aurais dû voir le film.  /  Je veux voir le film à nouveau.  /  Je crois que nous avons déjà vu ce film.;n
quatre;quatre;300.;num. four;Nous sommes une famille de quatre.  /  Ils ont quatre cours le matin.;num
essayer;essayer;301.;v. to try, to attempt;Essaie de te mettre à la place de ta mère.;v
rentrer;rentrer;302.;v. to return, to go back;;v
plan;le plan;303.;"n. plan, project; map; plane, surface";Quel est ton plan ?;n
travailler;travailler;304.;v. to work;;v
regarder;regarder;305.;v. to look, to watch;Je voulais juste te regarder.  /  Regarde-moi et fais ce que je fais.;v
parfois;parfois;306.;adv. sometimes;Ça arrive parfois.;adv
faute;la faute;307.;n. fault, error, mistake;;n
choix;le choix;308.;n. choice, option;Faites un autre choix.  /  Vous avez un choix à faire.  /  Je pense que vous avez fait le bon choix.;n
bas;le bas;309.;adj. low  n. bottom;;adj n
heureux;heureux;310.;adj. happy;Je suis très heureux de te revoir.;adj
facile;facile;311.;adj. easy, simple;Ça va être facile.  /  Sa maison est facile à trouver.  /  Ce serait facile de faire ça.;adj
entendre;entendre;312.;v. to hear;Je veux vous entendre le dire.  /  Je pensais ne jamais entendre ça.;v
changer;changer;313.;v. to change;Je vais me changer.;v
lit;le lit;314.;n. bed;Il doit rester au lit.  /  Elle a mis les enfants au lit.;n
entrer;entrer;315.;v. to enter, to go in;;v
plaisir;le plaisir;316.;n. pleasure, joy;Quel plaisir !  /  Ça a toujours été un plaisir de travailler avec toi.;n
ensuite;ensuite;317.;adv. after, afterwards, in turn, next;Que devrais-je faire ensuite ?;adv
propre;propre;318.;"adj. own; clean";;adj
route;la route;319.;n. road, route, way;Il est en route.  /  Tu te tiens sur ma route.  /  Es-tu en route pour chez toi ?;n
tour;le tour;320.;"n. tower; walk, stroll; turn (a chance to use something shared in sequence); circumference";;n
garder;garder;321.;v. to keep, to maintain, to hold;Je vais le garder avec moi.;v
année;l'année (f);322.;n. year;;n
drôle;drôle;323.;adj. funny;Tu es très drôle.  /  Ce serait très drôle.  /  Vous êtes un drôle de type.  /  Vous êtes une drôle de jeune femme.;adj
service;le service;324.;n. service;Je suis à votre service.;n
rendre;rendre;325.;"v. to render, to make (turn into something); to give back, to return";;v
lieu;le lieu;326.;n. place;Vous êtes en lieu sûr.;n
sujet;le sujet;327.;n. subject, topic, matter;Je connais bien le sujet.;n
difficile;difficile;328.;adj. difficult, hard, tough;Cela doit être si difficile pour vous.;adj
pire;le pire;329.;n. worst  adj. worse;;adj n
sorte;la sorte;330.;n. kind, sort, type;;n
ceci;ceci;331.;pro. this;Ceci est pour mon ami.  /  Je dois te parler de ceci.  /  Vous êtes très bon à ceci.  /  Tu es bien trop jeune pour faire ceci.;pro
état;l'état (m);332.;"n. state (condition of something); state, nation";;n
bizarre;bizarre;333.;adj. bizarre;;adj
chien;le chien;334.;n. dog;Ce chien est à moi.  /  Reste loin de ce chien.  /  Votre chien est très gros.  /  Il a peur de ce chien.;n
perdre;perdre;335.;v. to lose, to waste;;v
impossible;impossible;336.;adj. impossible;Tu es impossible.;adj
tôt;tôt;337.;adv. early;Désolé de vous appeler si tôt.  /  Je ne pensais pas être là si tôt.;adv
dès;dès;338.;prep. from, since;;prep
payer;payer;339.;v. to pay;Tu vas payer pour ça.  /  Qui va payer pour tout ceci ?;v
calme;calme;340.;adj. quiet, calm;Reste calme.  /  On se calme.  /  Je suis calme.  /  Sois calme !  /  Essaie de rester calme.  /  Il nous dit de rester calme.;adj
café;le café;341.;n. coffee;Merci pour le café.  /  Je vous ai fait du café.  /  Je vais faire un peu de café.  /  Veux-tu du café ou autre chose ?;n
verre;le verre;342.;"n. glass (transparent substance); glass (vessel for drinking)";;n
ferme;la ferme;343.;n. farm  adj. firm;Je travaille dans une ferme.  /  Il travaille à la ferme du matin au soir.  /  Il était assez fort pour aider son père à la ferme.;adj n
accord;d'accord (m);344.;int. okay, fine;;int
photo;la photo;345.;n. photo, picture;Ceci est une photo de ma voiture.  /  Je veux une photo de ce chien.;n
sûrement;sûrement;346.;adv. surely, certainly;;adv
montrer;montrer;347.;v. to show;Je vais te montrer la ville.  /  Pouvez-vous me montrer comment le faire ?  /  Je savais que tu voulais me montrer quelque chose.  /  Je veux te montrer quelque chose dans mon bureau.;v
cœur;le cœur;348.;n. heart;Suis juste ton cœur.  /  Elle a bon cœur.  /  Je le connais par cœur.  /  Il sera toujours dans mon cœur.;n
hôpital;l'hôpital (m);349.;n. hospital;Elle travaille pour un hôpital.  /  Je veux travailler dans un hôpital.;n
musique;la musique;350.;n. music;Il adore la musique.  /  Il aime beaucoup ce genre de musique.;n
avis;l'avis (m);351.;"n. opinion, view (on a subject); advice; notice, warning";À mon avis, il a raison.;n
sauf;sauf;352.;prep. except, unless  adj. safe;Personne ne peut le faire sauf toi.;adj prep
doute;le doute;353.;n. doubt, question;Ils sont heureux, sans aucun doute.;n
seconde;la seconde;354.;n. second;Donne-moi une seconde !  /  Puis-je vous voir une seconde ?  /  Je suis à vous dans une seconde.  /  Il sera de retour dans une seconde.;n
sérieux;sérieux;355.;adj. serious;Maintenant je suis sérieux.  /  Je commence à penser que tu es sérieux.;adj
gentil;gentil;356.;adj. nice, kind, friendly;Mon père est très gentil.  /  Tu as été très gentil avec moi.;adj
haut;le haut;357.;adj. high  n. top;Ma maison est en haut de la route.;adj n
malade;le malade, la malade;358.;adj. sick, ill  n. patient;;adj n
dîner;le dîner;359.;n. dinner;Le dîner est pour moi.  /  Ma mère fait le dîner.  /  Dis-moi quand le dîner est prêt.  /  Je connais un bon endroit pour dîner.;n
esprit;l'esprit (m);360.;n. mind, spirit;Es-tu un esprit ?;n
moyen;le moyen;361.;n. means, way, method, mean of doing something;Donne-moi un autre moyen.  /  Il doit y avoir un moyen.;n
six;six;362.;num. six;Il est déjà six heures.  /  Le dîner est à six heures.  /  Je serai de retour à six heures.  /  Elle a six ans de plus que moi.;num
salle;la salle;363.;n. room, hall;;n
comprendre;comprendre;364.;v. to understand;;v
sauver;sauver;365.;v. to save, to rescue;Je suis venu ici pour te sauver.;v
simple;simple;366.;adj. simple, easy;Tout est assez simple.  /  La vérité est très simple.;adj
bras;le bras;367.;n. arm;Regarde mon bras.  /  Je lui pris le bras.;n
chéri;le chéri;368.;adj. darling, beloved, dear  n. honey;;adj n
partout;partout;369.;adv. everywhere;Nos gens sont partout.;adv
visage;le visage;370.;n. face;Je connais ton visage.;n
chemin;le chemin;371.;n. path, way, road;Allons par ce chemin.  /  Je prends le chemin de la maison.  /  Je suis en chemin pour mon travail.;n
soirée;la soirée;372.;n. evening;;n
livre;le livre;373.;n. book;Je lui ai donné un livre.  /  À qui est ce livre ?  /  Je vois un livre sur le bureau.;n
face;la face;374.;"n. face, front; side (of an object)";;n
boire;boire;375.;v. to drink;Je veux quelque chose à boire.  /  Est-ce que tu veux boire ?;v
surtout;surtout;376.;adv. mostly, above all;;adv
bois;le bois;377.;n. wood;Ma maison est en bois.;n
rapport;le rapport;378.;n. report;Je veux vous parler à propos de ce rapport.;n
message;le message;379.;n. message;Tu as un message.  /  Je peux prendre un message.  /  Nous avons eu votre message.  /  Je vous ai laissé un message.  /  Il y a un message pour toi.;n
pauvre;pauvre;380.;adj. poor;;adj
erreur;l'erreur (f);381.;n. error, mistake;;n
sinon;sinon;382.;"conj. otherwise; if not; except, other than";;conj
honneur;l'honneur (m);383.;n. honor;;n
rencontrer;rencontrer;384.;v. to meet;Il a voulu te rencontrer.  /  Ça a été un plaisir de vous rencontrer.  /  Il me dit de le rencontrer chez lui.;v
an;l'an (m);385.;n. year;Je suis là depuis un an.  /  Je le fais une fois par an.;n
devenir;devenir;386.;v. to become;;v
souvent;souvent;387.;adv. often;Cela nous arrive souvent.  /  Je ne viens pas souvent ici.  /  Il est souvent en retard au travail.  /  Comme cela lui arrive souvent, il était en retard.;adv
revenir;revenir;388.;v. to return, to come back;;v
pièce;la pièce;389.;"n. room (of a house, etc); piece, bit (of something)";Ils sont tous deux dans la pièce.;n
dormir;dormir;390.;v. to sleep;;v
grave;grave;391.;adj. serious, severe;;adj
commencer;commencer;392.;v. to start, to begin;Ne commence pas à faire ça.  /  En fait, ce serait une bonne idée de commencer tout de suite.;v
roi;le roi;393.;n. king;À bas le roi !;n
groupe;le groupe;394.;n. group;Je joue dans un groupe.  /  Ce groupe est vraiment bon.;n
carte;la carte;395.;"n. map; card (of birthday, invitation, christmas, etc); credit card";;n
paraître;paraître;396.;"v. to appear (become visible); to appear to be something, to seem";;v
intérieur;l'intérieur (m);397.;n. adj. inside, interior;;adj n
rêve;le rêve;398.;n. dream;Ça doit être un rêve.  /  Je me sens comme en rêve.  /  Ça a été mon rêve depuis que je suis petite fille.;n
bonsoir;bonsoir;399.;int. good evening;;int
faux;faux;400.;adj. fake, false;;adj
peur;la peur;401.;n. fear, scare;;n
sac;le sac;402.;n. bag, sack;Il me faut un sac.  /  Où est le sac ?  /  Il y a un sac sur le bureau.;n
content;content;403.;adj. content, happy, glad;Je sais que tu es content.  /  Je suis content de te voir ici.;adj
cher;cher;404.;"adj. (after a noun) expensive; (before a noun) dear, beloved";;adj
président;le président;405.;n. president, chairman;Elle a parlé avec le président.;n
acheter;acheter;406.;v. to buy, to purchase;Je veux en acheter un autre.  /  Nous avons beaucoup de choses à acheter.;v
début;le début;407.;n. beginning, start;Ça serait un bon début.;n
secret;le secret;408.;adj. n. secret;Je vais te dire un secret.  /  Je sais que tu as un secret.  /  Ton secret est en sécurité avec moi.;adj n
maître;le maître;409.;"n. master, leader; teacher";Vous êtes le maître.  /  Le maître peut vous voir.  /  Il a trouvé son maître.;n
patron;le patron;410.;n. boss, employer;Tu es mon patron.  /  Je veux voir ton patron.  /  Où est le patron ?  /  Je sais que tu es le patron.  /  Qui veut que tu sois le patron ?;n
noël;le noël;411.;n. christmas;Noël arrive bientôt.;n
rue;la rue;412.;n. street, road;Ne joue pas dans la rue.;n
occuper;occuper;413.;v. to occupy;;v
âge;l'âge (m);414.;n. age;Tu ne fais pas ton âge.  /  Tu devrais le savoir à ton âge.  /  Mon fils est petit pour son âge.;n
prix;le prix;415.;"n. price, cost; prize";Ne pense pas au prix.  /  Quel est ton meilleur prix ?  /  Je pense que ça en vaut le prix.;n
gagner;gagner;416.;v. to win, to earn, to gain;Pensez-vous que nous avons une chance de gagner?;v
effet;l'effet (m);417.;n. effect;;n
tirer;tirer;418.;v. to draw, to pull;;v
avocat;l'avocat (m);419.;n. lawyer;Je vais être ton avocat.  /  Je veux parler à un avocat.  /  Je sais que vous avez pris un avocat.;n
voix;la voix;420.;n. voice;Sa voix est très belle.  /  Tu as vraiment une belle voix.  /  Je pensais avoir entendu ta voix.;n
général;le général;421.;adj. n. general;;adj n
noir;noir;422.;adj. black;;adj
long;long;423.;adj. long;;adj
apprendre;apprendre;424.;v. to learn;Je suis venu ici pour apprendre.  /  Il y a encore beaucoup à apprendre.  /  Nous devons apprendre à nous faire confiance.  /  Tu as encore beaucoup à apprendre sur les femmes.;v
dix;dix;425.;num. ten;Le film commence à dix heures.  /  Je peux être là dans dix minutes.  /  Je peux faire ça en moins de dix minutes.;num
accident;l'accident (m);426.;n. accident;Ils ont dû avoir un accident.  /  As-tu jamais vu un accident de voiture ?;n
probablement;probablement;427.;adv. probably, likely;Tu savais probablement déjà ça.  /  Il est probablement toujours en vie.;adv
bout;le bout;428.;n. end, tip, extremity (of a physical object);;n
ordre;l'ordre (m);429.;n. order, command;Tout est en ordre.  /  Tout semble être en ordre.  /  Mets ta chambre en ordre.;n
okay;okay;430.;int. okay!;;int
incroyable;incroyable;431.;adj. incredible, amazing, unbelievable;Tu es vraiment incroyable.;adj
voyage;le voyage;432.;n. travel, trip, journey;Ça vaut le voyage.  /  Faites un bon voyage !  /  La vie est comme un voyage.  /  Je veux tout entendre au sujet de votre voyage.;n
retrouver;retrouver;433.;"v. to be reunited with, to meet up with someone again; to remember, to recall";;v
bienvenue;bienvenue;434.;int. welcome!;;int
force;la force;435.;n. force, strength;Il a plus de force que moi.;n
ailleurs;ailleurs;436.;adv. elsewhere;Regardez ailleurs.  /  Va ailleurs.;adv
situation;la situation;437.;n. situation;;n
protéger;protéger;438.;v. to protect;On va te protéger.  /  Il nous faut nous protéger.  /  Je suis là pour te protéger.  /  Nous sommes là pour te protéger.;v
hôtel;l'hôtel (m);439.;n. hotel;Cet hôtel est meilleur que celui-là.;n
utiliser;utiliser;440.;v. to use;Je sais comment utiliser ça.  /  Puis-je utiliser votre voiture pour un petit moment?;v
sœur;la sœur;441.;n. sister;Ta sœur est toujours aussi belle.  /  Ma sœur est plus jeune que moi.  /  Je suis allé voir sa sœur la semaine dernière.;n
complètement;complètement;442.;adv. completely, fully, totally;;adv
crime;le crime;443.;n. crime;Est-ce un crime ?;n
dos;le dos;444.;n. (anatomy) back of a person;;n
idiot;l'idiot (m);445.;n. idiot;Je pense que tu es un idiot.;n
sale;sale;446.;adj. dirty, nasty, unclean;Est-ce sale ?  /  Ma voiture est sale.  /  Votre visage est sale.  /  Mon verre est sale.;adj
liste;la liste;447.;n. list;Fais une liste !  /  Avez-vous déjà fait une liste ?  /  Ton nom est toujours sur la liste.  /  Je veux te parler de cette liste.;n
anniversaire;l'anniversaire (m);448.;n. birthday, anniversary;Demain est mon anniversaire.  /  Mon anniversaire était la semaine dernière.  /  Que veux-tu pour ton anniversaire ?;n
oncle;l'oncle (m);449.;n. uncle;Mon oncle a trois enfants.  /  Mon oncle est venu me voir.  /  Je veux parler à ton oncle.  /  Je compte rester chez mon oncle.  /  Mon oncle vient me voir de temps en temps.;n
victime;la victime;450.;n. victim;La victime était-elle un homme ou une femme ?  /  La première victime de toute guerre est la vérité.;n
paix;la paix;451.;n. peace;Ils veulent la paix.  /  Je viens en paix.  /  Laisse-moi travailler en paix.  /  Il a parlé de paix.;n
battre;battre;452.;v. to beat;;v
absolument;absolument;453.;adv. absolutely, completely, definitely;Je veux absolument tout savoir.;adv
finir;finir;454.;v. to end, to finish;En tout cas, je dois finir ce travail pour demain.;v
libre;libre;455.;"adj. free, unrestricted; open, vacant";Je suis un homme libre.  /  Tu est libre de partir maintenant.  /  Vous êtes libre de dire ce que vous pensez.;adj
avion;l'avion (m);456.;n. aircraft, airplane;;n
rouge;rouge;457.;adj. red;Le téléphone est rouge.  /  Le rouge est mieux.  /  Ton visage est rouge.  /  Ma nouvelle voiture est rouge.  /  Tu es passé au feu rouge.;adj
retourner;retourner;458.;"v. to return; to revert";;v
bateau;le bateau;459.;n. boat, ship;Mon bateau est petit.  /  Ils avaient un bateau.  /  Tu peux y aller en bateau.  /  Je suis le capitaine de ce bateau.  /  Vous et moi sommes dans le même bateau.;n
sympa;sympa;460.;"adj. nice; friendly";Ta maison est très sympa.  /  Elle est sympa avec moi.  /  Je pense que ce serait sympa.  /  Je pense que tu es sympa.  /  Ça va être sympa de revoir tout le monde.;adj
stupide;stupide;461.;adj. stupid;;adj
médecin;le médecin;462.;n. doctor, physician;Je veux un médecin.  /  Il me faut un médecin.  /  Le médecin sera là dans une minute.;n
balle;la balle;463.;n. ball, bullet;;n
faim;la faim;464.;n. hunger;;n
contrôle;le contrôle;465.;n. control;Je pense que tout est sous contrôle.  /  Je pris le contrôle de la situation.;n
table;la table;466.;n. table (item of furniture);Mets le livre sur la table.  /  Le chien est sous la table.  /  Laissez vos mains au-dessus de la table.  /  Puis-je vous faire une place à table ?  /  Il y a un livre sur la table.;n
fond;le fond;467.;"n. background; bottom";;n
habitude;l'habitude (f);468.;n. habit;;n
impression;l'impression (f);469.;n. impression;;n
surprise;la surprise;470.;n. surprise;Nous avons une surprise.  /  Je les ai pris par surprise.  /  Je voulais que ce soit une surprise.;n
porter;porter;471.;v. to wear, to carry, to bear;Nous avons le droit de porter des armes.;v
autour;autour;472.;adv. around, about;Regardez autour de toi.;adv
colère;la colère;473.;n. anger, rage;;n
or;l'or (m);474.;n. gold;;n
ligne;la ligne;475.;n. line;Restez en ligne.  /  Il est sur une autre ligne.;n
magnifique;magnifique;476.;adj. magnificent, wonderful, splendid;Ça a été magnifique.  /  Sa mère est une femme magnifique.  /  La vue depuis cette pièce est magnifique.;adj
gauche;la gauche;477.;n. adj. left;Votre chambre est la première à gauche.;adj n
clair;clair;478.;adj. clear, light, bright;Tout est clair pour moi maintenant.  /  Je veux être très clair à ce propos.;adj
neuf;neuf;479.;num. nine  adj. new;Il est tout neuf.;adj num
cadeau;le cadeau;480.;n. gift, present;Je veux te donner un cadeau.  /  Elle a été très heureuse de mon cadeau.  /  Elle ne voulait pas lui donner de cadeau.  /  Je suis venu ici pour te faire un cadeau.  /  Merci pour le cadeau que vous avez donné à mon fils.;n
risque;le risque;481.;n. risk;Il a pris un gros risque.  /  Je pense que ça vaut le risque.;n
système;le système;482.;n. system;Vous êtes une victime du système.  /  Il est temps pour nous de changer le système.;n
police;la police;483.;n. police;Appelle la police!  /  Je vais voir la police.  /  La police est ici pour te parler.;n
hors;hors;484.;adv. outside, out of;;adv
dedans;dedans;485.;adv. prep. in, within;Il doit y avoir quelque chose là-dedans.;adv prep
pote;le pote, la pote;486.;n. buddy, mate, pal;;n
expliquer;expliquer;487.;v. to explain;Elle ne va pas le leur expliquer.;v
espèce;l'espèce (f);488.;n. kind, sort, type;;n
montre;la montre;489.;n. watch, wristwatch;Je vais vous acheter une montre.  /  Cette montre est vraiment une bonne affaire.  /  Quel est le prix de cette montre ?;n
pied;le pied;490.;n. foot;Je vais toujours à pied.;n
présent;le présent;491.;adj. n. present;Le moment présent est un bon moment.  /  Elle a reçu un présent de son ami.;adj n
plusieurs;plusieurs;492.;adj. several, many, a lot;Il est venu plusieurs fois.  /  Je veux rester plusieurs jours.  /  Je travaille ici depuis plusieurs années.;adj
marcher;marcher;493.;v. to walk;Tu dois me faire marcher.;v
lumière;la lumière;494.;n. light;Je peux voir la lumière.  /  La lumière est meilleure par ici.;n
réponse;la réponse;495.;n. response, answer;Votre réponse est au point.  /  Vous êtes très loin de trouver la bonne réponse.  /  Je veux votre réponse pour la fin de la journée.;n
coin;le coin;496.;n. corner (of the street, etc.);Dans quel coin dites-vous que ça a eu lieu ?  /  Il y a un bureau dans un coin de la pièce.;n
suivre;suivre;497.;"v. to follow (literal sense); to follow, to get (figurative sense: to understand what someone is saying)";;v
moitié;la moitié;498.;n. half;Donne-moi la moitié.  /  Je peux le faire en la moitié du temps.  /  Je ne pense pas la moitié de ce que je dis.;n
club;le club;499.;n. club, team;;n